id,views,likes,dislikes,comments
n1WpP7iowLc,17158579,787425,43420,125882
0dBIkQ4Mz1M,1014651,127794,1688,13030
5qpjK5DgCt4,3191434,146035,5339,8181
d380meD0W0M,2095828,132239,1989,17518
2Vv-BfVoq4g,33523622,1634130,21082,85067
0yIWz1XEeyc,1309699,103755,4613,12143
_uM5kFfkhB8,2987945,187464,9850,26629
2kyS6SvSYSE,748374,57534,2967,15959
JzCsM1vtn78,4477587,292837,4123,36391
43sm-QwLcx4,505161,4135,976,1484
H1KBHFXm2Bg,5068229,263596,8585,28976
U3xLOo-CNwo,3153224,28451,2285,3312
FyZMnhUtLfE,158815,218,30,186
7MxiQ4v0EnE,5718766,127477,7134,8063
LUzsOyWp9lw,960747,31810,668,5335
AS9-ITLhQxo,1531218,53961,1697,4277
gifPYwArCVQ,557883,44558,621,9619
8NHA23f7LvU,1496225,16116,236,605
fy-CuCzaPp8,308568,19541,70,495
kzwfHumJyYc,1096327,33966,798,882
nc99ccSXST0,817732,23663,778,3432
puqaWrEC7tY,343168,10172,666,2146
6H3wVsceoS0,3905245,53072,2437,1979
PRlmRnU9qts,4204818,187890,167908,77348
ZhhXLMbZ1rQ,549374,16832,248,3579
wuf2KinLxZ8,348841,27089,162,2099
aVTAU_4i9AY,370827,12150,325,2352
7779JdxVAg0,653398,27773,2778,3976
jVpp2BUtMoY,92280,11045,182,1412
j67FgNEvyh8,178447,4339,96,876
oQH_rtoHsdQ,585425,36207,1288,3002
m-nZmgHWoEw,116676,4324,136,618
V4Uuxg6jmbo,3597410,128127,1756,10370
WuTFI5qftCE,925222,85016,550,4303
_A5Z00E5gx8,123778,82,20,64
wczm1faUZ1Q,200264,2947,317,2321
uEu5--lyNCE,191353,3307,85,534
cTBnDJ77kr0,721066,30576,1251,6114
FSdg3UVuBKE,182330,14901,55,1442
6xT1Xc7_X3k,524623,34460,237,2490
GBVxEpQr8R8,2340941,200598,6018,7575
JwboxqDylgg,36311,277,28,13
t3FYESkzjUI,3684,4,5,1
0gLWN3uq74o,286231,2530,1127,3239
9fNvbeBLwGc,1637172,100779,989,18966
-Toujzk3ysk,458964,4903,392,1289
k3GxDSG1c0Y,172720,10736,236,3813
ThLVteoxnSE,28992,1409,9,188
exMNBvwCfRY,3641421,218587,5809,12649
c64I9HNpiOY,10588371,132738,8812,10847
oo_xQyxgNpg,268111,447,100,240
teXaL6GdQRk,141253,14354,202,417
0kErOtN3q_w,234983,2358,125,344
TaTleo4cOs8,207532,7473,246,2120
Nc0ZCtZdgAk,628340,37121,2100,1667
9t9u_yPEidY,9548677,190085,15015,11473
ebztEUmhEMY,900014,3273,1189,721
MLQLOOUO84Y,25863,32,3,13
9B-q8h31Bpk,106029,1270,101,181
hW2B_GT3b1E,11636,1375,20,281
0PkVodF5QQ8,9368,75,15,28
MbyP-w4uOgk,1064943,38449,466,2335
f-G8fK1LJVU,788935,15535,2557,2848
66Y44OxufVM,731639,13794,512,376
objBBRAurLg,146900,1377,52,128
xfmqmmBTRXw,137210,381,105,156
PV8maMvPqhw,325851,8998,185,1272
amEZKmJQ4Io,25887,0,0,6
3zjhB7NYQyg,274190,6303,266,368
F5mzb086QM8,29234,37,65,62
TIvI07xLPnA,13433,74,57,0
5lC4IlTjVxk,1846670,26611,1282,1221
RbcGCMtlluQ,116344,5068,106,1341
CpU72eM8vCo,56077,1713,45,127
f-UzOpuKOVY,5029621,39098,989,1596
pXEGYQ3DNug,210478,905,176,85
TUmyygCMMGA,256426,12656,1363,2368
WuzMMgFsJFE,33167,304,11,71
1UE5Dq1rvUA,320964,8069,285,717
2B8RO0GcLDw,187075,2443,185,324
xZxOAqiQiGo,341389,44134,1045,5485
Y4BoKJaLaTs,281350,17626,230,3352
Dgut-rlPVrk,261603,4276,2148,0
MBjVXkS-vuY,1300826,3333,490,494
SElT590QmTY,439507,2557,133,1294
0aYWB3d7bJ8,738561,2519,224,1014
pmJQ4KwliX4,116820,1503,139,1066
k3kgQrU5-p0,1788176,178236,3054,46254
W-m1930mh1s,56407,734,136,10
nAvudA4X6vI,378352,16566,188,2803
6p-QzY5bxJ0,5541767,263919,1502,10706
xiS6rSvxl-M,319817,1796,562,1065
kRoCPSDCvts,469779,2560,214,2084
kpQlAGiyg3A,961644,62033,1132,3842
AE8tATPge7o,786155,37126,895,6091
zxuvr9tN924,150974,220,65,201
dKBThyjj0J0,70448,1538,25,315
pQgPR2V6924,135620,379,86,449
