id,views,likes,dislikes,comments
Ro6eob0LrCY,212702,29282,1108,3817
Yo84eqYwP98,432721,14053,576,1161
ceqntSXE-10,482153,76203,477,9580
WuTFI5qftCE,925222,85016,550,4303
ee6OFs8TdEg,141695,8091,72,481
teXaL6GdQRk,141253,14354,202,417
nduL7G_gJoY,187654,9286,1381,2419
QmpWE_SODZA,91051,1674,1903,701
GBVxEpQr8R8,2340941,200598,6018,7575
0RFhWyM6qbA,635236,5945,722,1483
LhjhGOBIoHM,294065,0,0,0
lnFaRuWOLN0,1504950,108635,1562,2913
LGbUBietbJc,335121,23410,2034,3004
JfanclGyrZY,53248,5164,43,234
PpECwr15oQQ,55313,4153,97,396
ZTTpRHC5ZH4,172608,8163,95,237
RpEJCznFreQ,373013,23645,411,813
tsMw-VMUtNU,79611,56,4,25
hdOzPPa_bFY,255349,20069,245,950
7779JdxVAg0,653398,27773,2778,3976
c0YARs-b5rc,152390,4666,1668,1335
BdUdHk80Z7U,321090,36515,3354,13845
1ZAPwfrtAFY,2418783,97192,6146,12703
Wbbj4oZ-Wmo,72519,689,23,362
PKBfGeMSTb4,166132,13758,156,1042
avNyRo2Vd9U,240158,6765,160,935
lQxGAH73DNE,49188,4835,362,914
FGA3qaOl5SM,160173,6226,82,424
exMNBvwCfRY,3641421,218587,5809,12649
8YEGqrtsxBc,102804,6306,179,421
7FOxuEaWm1k,89653,11224,74,542
Uq-eW_7xiAA,567108,36790,574,2495
KBeILuk6Tzg,269993,15354,289,884
tEvxCacYbFU,129864,12564,461,1725
o-y6Q0bANm4,265303,1475,110,273
Cu_I5qtYqaw,117799,14369,95,860
anvZCeVIOCg,160820,2453,162,323
EM0p9NFhDdo,15624,1961,14,368
2rciAnKuVdM,35870,1343,48,229
redJOfQQlhg,161866,8459,292,193
QbBNjjZthsg,294947,16263,294,1678
L-ixmHzXl3w,1388115,17378,6835,1517
iNF0Zoo_9FI,84521,2286,80,523
a0TDcLkTdiM,173226,7044,134,355
hQ0RcXSNKPM,207278,8984,482,283
iKB0e3wL2Y4,161552,14663,554,1099
qrj0hChVji4,74384,6123,256,1221
8o6Yn4-7o-o,508175,25919,1006,2433
Vrfq5pIQJ-s,2990802,23443,2244,3420
FuJgxV9h_Zc,57030,4315,59,620
783GObTk-I4,424161,7159,506,1688
Ia2WpQVP8lI,457870,18399,415,790
dVR7h99fZGc,190246,144,183,49
DhRyv2Ccupw,209283,7336,118,440
qhanFhnOLsY,35231,3317,39,406
gXyP-w4nDyM,30296,63,10,8
68F0uL6Z8-Y,404120,2179,370,442
aBQSNL4DymI,45311,4115,101,577
nP10W-rPJcg,17804,117,0,5
dTbHOXT6xhE,42093,8753,71,1174
2kyS6SvSYSE,748374,57536,2967,15959
1kuJkA9usqg,387221,2159,1214,711
tisvoTD-IXo,172561,8406,3015,1610
SoDxxEyxE84,12740,110,16,69
w5qMOyPuUqU,170707,1152,178,166
cR23RF-qLHM,855508,50955,958,1104
-ktC_CVGAvs,11132,50,10,16
FDoOrin7Guo,376091,29419,902,2360
2urX1QwMgNI,40916,227,1,27
YArr_7RbJiU,142060,19718,455,805
n1WpP7iowLc,17158579,787425,43420,125882
9x8maydHc38,9637,6,0,1
fow3fbsZ00k,50535,1930,21,178
nNWmcauF-9I,48029,1897,173,277
kn-pu9awJaY,883257,53449,894,3225
tlSLFSw_lYs,26260,182,44,156
ko1ebVo3C70,24072,2127,158,306
MlktRNrFFXo,7782,667,24,95
0gX3t6Otnnk,768620,6603,1126,386
pw3iSkTRJWw,117022,466,135,24
LxlOw30Xo-U,236911,1911,128,0
pntPBdQgGoY,923261,30587,1150,2751
pzykpocreMc,104253,435,76,814
7urLUZ0Btt8,50204,3686,66,708
OoCkKpGsF_0,163164,2686,90,121
xB_Jc8I32A0,8546,326,8,0
jZPv46YGgfU,47828,473,68,118
mVtinIwS4QM,85271,6451,245,2611
lRHS-n3iR4g,59454,3447,241,682
oo12BXzMkfI,48796,99,19,73
64Zp9KvOY-Y,61769,922,22,104
8L3bSNzTVhQ,41035,3070,38,3648
1SiKopOt-QM,803400,15547,1130,955
eToeNZVC8FU,321860,28943,173,1528
rfZuiD2MaUM,23722,88,25,60
LZ5a2foctcA,324910,2551,566,612
5aHZCOUiqCA,29374,318,45,173
lXLHyViDxqM,182280,1894,91,262
4-cBcUCnFqg,94634,2911,154,314
1XK6vl9Oa0E,10569,35,0,0
K2bupEhzJm0,371258,6654,282,797
Kg7-PAMLups,23795,140,3,14
TeNlZ_8WKdo,153071,4919,315,619
A5LFlKGs5wA,35166,2386,125,494
RcFT1BlWYSY,108303,599,87,83
TsKS3XfcU7Y,118878,599,93,84
NUaf90fMEW4,55785,3216,82,237
x1xbq4XnOp4,23082,1432,17,322
Yjtqf0NPNSA,226660,2501,145,224
rJiyAQPrTVc,848688,2736,523,433
pY32595kQ0M,233265,12464,266,282
MhDbAS6EQQ0,2100,0,0,0
l_7HXA7LmUU,319264,1501,233,554
lqnIuhrjA6A,9821,23,4,12
jVH6-eQwGjE,70645,1335,63,527
pvKs19lr69A,101010,1144,90,201
2KBTtnQyiis,50862,6634,19,150
9QSsa7PyuZ0,70994,3906,64,334
3yTWXT1Dj_4,3046,18,2,2
BaPXooxJp00,102674,11082,256,681
SefafTAhQ5Q,6953,35,11,15
q1IyHz7BR2Y,54031,227,35,72
iydJh4wFYq8,4613,5,2,0
ARceRTLzDzA,15580,1231,21,454
afG9KvRcSYc,72309,599,90,43
METijTu2IcM,15222,186,6,22
d8JxIUGWBn8,54742,82,9,14
k_KXgkEZGtI,303817,2299,804,0
5QE2UWudkaY,28578,445,38,201
tgjTYiowYZk,5210,316,8,17
jKfNUQsYMYI,121875,12608,500,1366
1cr9mQh_IlA,48321,216,63,453
7Cj6P13MUNU,49667,4533,186,552
S6r8FNCUNPA,430724,26557,323,1875
YdCowQVqdfo,114014,8666,360,471
MPw9b9ZCsGU,49333,1909,179,1326
jEtTDPkjoFc,487450,24998,272,2266
dpwv-nVUzAo,531627,53063,698,3726
w86peaYNLdk,63708,3567,65,201
V9bayEQ7xwk,11882,503,44,7
XV0_9XAM10o,392350,2560,307,1175
6JqNitREfPk,2952,25,10,7
vt13k3Z31o4,412870,2179,463,616
_kTxT3ZIu6I,4547,81,6,4
uHUoon0jOfg,13201,106,56,381
k_73Get4zFA,3524,53,5,0
hZ73Ry3YthE,177851,1365,69,122
U3xLOo-CNwo,3153224,28451,2285,3312
nrTkHZI4KlQ,60548,36,6,14
-bqyTKrGq18,55916,3258,59,208
LucUgZucG9M,97976,7397,157,426
1Cat-Fxks_s,2042,27,0,1
w9_TuLo3Ao0,738052,2571,581,730
FjcbdPF9bN4,10052,981,15,201
cAhp-JLDiRI,3120,119,33,59
nWGKA8OULxU,123529,1370,180,255
7M0pWfEAPoo,268171,2357,192,333
VG1bq1mD5bk,10500,1175,57,193
RKgk0DXZCvQ,6708,98,4,31
O7JJllvepts,7709,15,7,6
J_I00wRkYFY,85380,5175,81,666
1hNAMeGnDSg,18905,2034,41,248
JmQbIFj3d10,299240,2594,240,325
mAbw28ePp5c,50733,960,75,129
xBwL10BMXeI,3609,47,4,0
SAwrNMAKF3I,25364,920,127,53
6H3wVsceoS0,3905245,53072,2438,1979
icKOIAc4rAA,4326,68,2,12
O90_g03eo2I,3333,2,0,1
8bSyJzEC1vo,3329,169,3,45
