id,views,likes,dislikes,comments
LgVi6y5QIjM,252786,35885,230,1539
Bayt7uQith4,797196,53576,302,1278
1ZAPwfrtAFY,2418783,97190,6146,12703
AHtypnRk7JE,380247,31821,458,1955
ZJ9We4bjcg0,822213,100684,2467,10244
xapGFgWqtg4,32709,3093,296,63
EIM7RMe39JY,308683,35704,578,1398
PaWTaj6Iie0,181660,17998,169,554
GHct2dGNLks,369173,16953,570,611
aZYSFByDGkg,62418,4749,44,425
2hu_evXPpMM,228574,11349,990,1049
2kyS6SvSYSE,748374,57532,2966,15954
2Zp-Qm3wJkA,465883,19928,216,1240
mmMPprcmJeA,109571,4357,303,357
3U51cVIqulM,99988,6397,298,429
OKYUtHvgMhc,37877,1839,327,170
spwqQDCW4TI,111328,10692,115,548
-MAgDuA3H9A,93628,7924,118,308
riV8xuBqUQ0,113961,8891,260,1385
nNtrjfX2aGw,121928,16467,650,3492
k_IrAnVSjYE,9413,1522,39,21
KLxP8VxZjlk,91914,17,13,8
cJx5blgWjDw,373833,21320,2901,1839
FWoXtrLTUMs,286684,27188,435,943
PK8lHszeXNk,27356,704,31,10
BEVPWKNRrQQ,685202,5472,528,463
lqJbw2pWZLk,721888,45981,914,4074
hg0OwRhQpGE,165276,4085,197,292
XVpDYrjZnuI,38954,2644,19,428
A5LFlKGs5wA,35166,2387,125,494
t3SveFfi5ik,149163,5452,97,280
2Vv-BfVoq4g,33523622,1634127,21082,85067
xSZnlufFjrA,71120,4138,69,296
TRZPLiLl9HY,725042,6620,294,1283
zABx5FtO8-8,97601,5364,560,580
WRmrWLOtLGQ,109194,10498,112,478
n1WpP7iowLc,17158579,787424,43420,125882
qfvMu1vMY1c,716243,2981,170,302
oWQuB2lVQLc,496192,1503,443,1020
zmXEI7b3_Pc,57829,7028,185,467
Q-8otmFD1NY,250875,2582,222,249
0dBIkQ4Mz1M,1014651,127791,1687,13030
jEtTDPkjoFc,487450,24998,272,2266
xdjXsDoSU7I,149444,7810,902,1784
KafpNXxuw0E,21782,134,28,17
qxGkk5l3Bws,258207,5116,66,296
QLPXHC5q6Qw,210688,5580,287,300
B16Ic88PyQc,106067,10189,119,1069
nQz2u6RJwgE,31154,2107,29,444
QtR5SwcDSOk,159192,3701,44,234
5BX5ugvK4Ys,201637,403,50,0
kf3eDxsaJaU,294983,18037,615,843
T00aGa1ihf8,265269,15488,272,655
JlJ9lgfaWrc,293205,6706,195,652
JzCsM1vtn78,4477587,292837,4123,36391
fe77K74czdA,31016,819,21,61
ypdHIAAR1aw,167162,15451,423,617
SFjU8cQQlnY,92278,4527,147,495
U3xLOo-CNwo,3153224,28451,2285,3312
Wg6a0chf3SI,112372,2984,83,328
0yIWz1XEeyc,1309699,103754,4613,12143
f9cubuZBpxQ,23834,643,29,111
7dMMXIlIbJ8,71571,1306,45,170
nWGKA8OULxU,123529,1370,180,255
VSRYWcbDqTo,1480455,12265,522,1927
QIAu8YQ83BE,238274,18408,716,881
o-bWQCeTc88,1128693,20073,1330,1320
XEY-mcrPAjI,41376,809,64,73
oo12BXzMkfI,48796,99,19,73
IzXXi8d0Jto,8033,255,0,41
cV2BUaijwT8,117785,374,123,155
npB1aQmsChE,202641,19386,652,836
U9N0s-0nViE,69704,2062,26,120
GjD3TEWbMAE,62733,2450,85,245
3T406E-4zzs,222162,5166,495,1370
3KdggIRWiR0,419835,27738,656,4681
WOkPlcmCyzU,260385,2124,1739,0
9EYAE-OEjfg,100607,8822,289,2673
8C-4QBgwUuk,48016,787,26,184
SGxi0SoPnLQ,148367,15631,308,1287
A4mLsh07Eus,161786,15354,872,4294
hUzgZAEG5RE,82380,4209,64,740
WLkFWX8ewxk,83889,787,51,40
5qpjK5DgCt4,3191434,146034,5339,8181
bnr4FIovIec,52673,1041,27,86
1SiKopOt-QM,803400,15545,1130,955
Ejyp7ryu3Q0,292988,10442,1015,473
GBNp7Up_y6E,185548,654,150,45
7OGVjXMw3Kw,72337,4065,41,270
2ztjIfgquRU,108622,2864,34,110
THlX7a9bfTs,39986,1701,34,55
Mr3ZmvpdSM8,148357,9073,291,795
-lgdJ39Imto,142715,1396,113,149
ZISFmNM9p3s,220911,1567,188,149
v5_27anzZwY,935983,6553,720,1267
ldOa-2m6bQc,5853,26,4,16
kUFB_AseTl0,36875,3831,34,419
Zo9CSpCLPVc,178906,155,76,40
YGA-zEWGAQ0,15737,730,114,56
LuQI2BLhCCI,105138,1693,97,29
oZL3hWtWHGA,24103,238,6,4
U271g04LDVo,94891,7741,131,478
wE679w4XF1s,99356,3250,132,290
TDn28TahPA8,145694,8403,1595,2304
7qiOrNao9fg,269764,8850,264,678
T89nYASkYI4,55547,376,20,16
SxHThLAyICc,18681,29,420,21
vv0XKGWVBKo,22275,104,7,15
YYOCmR5Lvbw,758492,11936,160,1472
gVrhwJjDhDw,12667,1074,4,125
d380meD0W0M,2095828,132239,1989,17518
tb75j5uqPio,69086,3200,19,439
9c_qlRtC5rs,23218,2505,42,395
aNyAJelSDfI,302436,1893,1631,1519
b5BDRiks2MI,7133,398,268,136
j9nCXKlZaSM,174130,4565,292,621
LUzsOyWp9lw,960747,31810,669,5335
BycbCTTE3ZU,27364,64,0,8
hR8x0BnXUV4,272456,1585,225,201
GSid9wlRqBQ,1186759,134977,5704,18549
6H3wVsceoS0,3905245,53072,2437,1979
KNq8laLAqcc,363046,1375,70,166
j8h7KEGcswk,13363,336,20,36
5MYXzKS95XY,6051,526,8,58
_UEk3WRixnc,31500,3122,28,192
fSdWRuVTcP8,65147,15,8,5
ZhhXLMbZ1rQ,549374,16832,248,3579
pWW4q6Kgs5o,5099,981,5,176
AXSPjgtmnuo,37034,1764,41,492
nc99ccSXST0,817732,23663,778,3432
oZYT_vC4-pc,442228,3194,5985,3218
1NJ7rLUS1PU,8596,111,15,19
mpdSLQRKqns,17361,60,5,9
ZvL6RxxflIo,25992,1,0,3
P2pOaG_N_4M,3095,45,3,3
pwpuSWdA1vc,76483,3322,81,384
43sm-QwLcx4,505161,4135,976,1484
jQImU-fdKf4,68284,1926,33,210
ZsZO-uBRRs8,15884,94,17,11
anlMHMJ37pI,7079,144,5,21
CTkUSeVx4fA,7604,162,10,28
-1DkGrAyTfU,281497,11041,348,610
4nOpbVXllCY,4069,74,3,20
8opIekYLSRw,62713,169,35,35
-soT-PvDMis,194768,3706,78,234
OA0vhAKUD0g,32941,149,2,5
wczm1faUZ1Q,200264,2947,317,2321
Qm3YbY5oI8w,36520,1507,55,171
cWSU_BDxayw,11868,520,9,95
AE8tATPge7o,786155,37126,895,6091
