id,views,likes,dislikes,comments
kzwfHumJyYc,1096327,33966,798,882
zUZ1z7FwLc8,590101,735,904,0
10L1hZ9qa58,473988,2011,243,149
N1vE8iiEg64,1242680,70353,1624,2684
kJzGH0PVQHQ,464015,492,293,66
il_pSa5l98w,6106669,98612,4185,4763
7MxiQ4v0EnE,5718766,127477,7134,8063
c64I9HNpiOY,10588371,132738,8812,10847
KObFEYCaRx8,118223,520,53,23
g8QsfJhFpjY,969030,59798,1545,2404
4du1KXBl4YU,632747,4330,2183,2869
zOOmEDwPJX0,2348107,32834,710,1743
Prb_osSVE0M,156085,716,53,0
KHxdrECEsD0,472413,2611,250,174
so0ccfs-psI,836006,24460,180,594
7gShaSuK_PY,89531,238,59,18
ep3SLMuRbvg,344545,25717,417,2870
ePO5M5DE01I,35885754,829362,61195,101117
CLl1RbxDRAs,209599,14070,448,1105
1ZAPwfrtAFY,2418783,97187,6146,12703
ZIHhuwvT7R0,2294242,14960,1361,913
Mqfh8_Uk1eM,1956925,9504,938,956
1kuJkA9usqg,387221,2159,1214,711
0SMKG3SRGzQ,176472,588,52,23
znOC3IU0dF8,55178,45,94,15
z3V9LUA6VQM,236710,858,197,66
bx-QX2ZPH60,238637,7975,368,1274
tFM-GNSeXzw,85432,114,91,13
MF9ovM9y0PE,249423,7861,68,364
EJVvdjDGnak,256199,318,123,35
Ukjn7A9L7vY,137438,3926,249,131
gW4Su5wq0b8,261202,1971,126,201
vMLs3kIuhzA,655660,8505,868,1361
P-pycrmifwU,423009,1514,347,118
jElRtesCnlA,33533,0,0,10
q3eBCWAwVpo,75834,160,15,9
qP67alYxSiU,128851,0,0,0
1OTwWFJY_0I,156063,5406,534,1047
01TgqDvqcyk,1287771,52194,253,3122
pbFr2Vb5hK0,56430,244,94,43
JSkOecmAFFo,793778,21956,1590,1661
Yvp9jUJtMuY,309490,1560,200,108
7yTWI873yfg,334780,1307,230,744
q0-SCcsuSSs,23932,0,0,7
l3fRny54z4U,54861,247,20,10
WXN8BzAsi3A,1174353,20095,2517,2250
E_e3nSdBiqE,127517,3676,381,2169
yPOnlqGGGGU,255707,2267,121,338
MXH7yFFl3fE,97522,838,189,49
UTVFNrRwL1o,692359,2523,618,194
hDUel4MX-Fw,47352,2240,31,543
K6JyjjNnTlg,114466,1580,163,255
TuOBfQRXwhQ,109594,790,189,145
y6YY8-k9Cwg,103239,7191,91,746
1WTtrHW7uw8,150806,1311,508,740
w5qMOyPuUqU,170707,1152,178,166
4tEqzEo5uKY,77888,889,75,44
3d7NjfTziNM,779856,14281,490,1021
8vBjlhp73hU,154502,543,15,15
WPuhu6dYyQY,433053,938,298,119
XjF2n3NaoSk,1025941,6019,234,280
ozZ8HpIBsGw,1449239,120289,3108,3296
RWTutjJA1I4,93662,33,5,10
xjFKfAudCOo,696515,12397,449,385
Mwn4zdD51Kc,74888,663,71,14
U3xLOo-CNwo,3153224,28450,2285,3312
AHWTbKVpukU,162637,1302,228,408
gWZwfjfgwGs,544102,13384,438,409
Ny_-eMpu95Q,52312,547,25,59
KskjXRkmJW4,90826,104,85,20
7BUEKSFwk7Q,23114,0,0,0
EU-y4Y7khJU,357019,2487,219,326
pw3iSkTRJWw,117022,466,135,24
NTiSvK7c810,32811,48,27,1
g7BHnHzwOVo,263844,9983,677,514
tA-cUlv-3Z8,202926,2057,244,896
SVc0gV3pWC0,1353040,53866,1111,2232
PVyuSPi0brM,24700,360,30,13
sOwXjFMy17Y,55523,220,41,5
r0wnuv1X1Z0,24276,1,1,1
WZIsINLpDcA,58675,226,23,30
KPSK2qOPvuU,73579,2095,84,547
XU6iH5LHwDw,65054,349,28,0
4f20l8mdBh0,132421,3509,89,294
Jwa0Qh1muyA,58019,87,31,0
SDG5U00mS_U,12790,234,22,46
5zHIyadCwwE,153384,29321,750,1787
Uf_rqW2yTgs,75843,55,35,4
tzlF8oZd2BU,269593,3931,390,640
3QsBs8JM3sM,868921,34242,1317,4604
2Vv-BfVoq4g,33523622,1634126,21082,85067
hJ6nM40tuKQ,209606,3739,118,245
3BF-iAMjciE,37616,17,0,5
_Qh5u5U9h80,482839,3978,248,848
6I2yAoxBRtI,181117,3218,222,517
u84lPMD6UaE,146859,421,52,5
qgasli1u-Ag,108414,3771,5349,2491
UtqE056lqas,78447,241,11,13
ZJaR1RPrvkA,218178,1373,214,118
7HTw1Jz5lcQ,103665,566,66,76
d380meD0W0M,2095731,132237,1989,17518
NgEgYjvh6rE,1014724,25413,891,1030
yqV4godQ7Xk,277050,2131,113,538
Svdb9YT86vc,109580,391,73,18
_bNrVP6CCfs,308394,5415,1833,568
h6Z9mmSNJcw,298998,1260,371,0
FBzjw0yPup0,748248,18891,1001,2078
A_XgvSkbCvM,17006,287,2,11
uzcHSrzwp9I,377572,1717,170,55
B6IxqP9z9XE,134307,1762,104,437
BwIw80nybkU,277839,1167,162,87
7RGnOALpYCk,85165,244,41,16
Rhq6uJkoy_o,69426,1112,125,0
PBuCqgA7u5w,2664065,2351,4169,883
xnvlaasnhHg,16825,31,12,2
JsZ2yyIXOSE,84097,352,44,47
1wqsTGkFHoE,367797,2254,605,0
_fJSu5naKX4,315154,842,219,183
3FxCSn3d1f4,26675,540,21,75
0Gf19Rue4zA,185537,7629,734,607
cRxYTelqWOg,66463,622,50,28
puBq9Z5TpEw,36092,106,58,3
BhZx-ZEz0_Y,35431,51,32,9
deKWUn7r-_8,59708,151,37,11
bDDZLQw8Wb4,182209,970,152,107
AL1RsbakLx4,249737,1303,483,411
NhyolxnS-Qs,204351,5192,480,303
zWAjEtFkMgY,37384,164,32,6
fRY7UWGFvdc,197122,0,0,130
Dxg-ELOg-L4,94383,168,18,23
D1z2sKcSsfY,353789,25657,1949,1226
m5HsZ4lYtv4,121361,1364,75,78
a8hFBXnqo0k,50220,15,0,3
XVPpvn9vQDU,96306,52,75,41
#NAME?,31052,36,11,2
efpUCPITNmw,1641745,7643,702,1082
NX23eK3ud10,42032,243,32,104
JFe_OFPYKQY,71272,309,38,66
oGoABVPTDQA,90034,1948,183,145
qEf_2YN1XaA,25844,1440,22,71
xzEbOteUiRY,51575,0,0,0
uLLYbYpV1z4,71786,9067,453,5427
jvcBAsE72Lc,7125,18,0,0
ul6tkHoVFg0,158126,3477,136,435
HilwZ2E5PX8,31421,57,12,4
V4olAUYK6aE,14018,764,9,102
Yx6FaFVw9NY,15107,1090,6,133
reoTUboruJ0,20463,111,20,23
xNfzGWB34b4,23082,31,12,7
t_vpgs7aDco,19567,171,28,204
rx5dx6HxBgg,34206,24,44,21
82Xuew50Dh4,55908,452,18,30
t7I8EBOTx8Y,37786,1102,28,54
-90fWzjVM7w,64656,392,47,83
v3nuxG2Q6Ew,662980,18875,2323,3995
WYV4afdFEvs,98212,670,87,108
ziOwvxFoLw0,92089,895,137,533
JBFmDaNsofY,63293,172,20,1
ifqJNMRupEU,7573,1,1,2
NgsoF5QeG4c,22933,83,28,17
CgbZnZrE9OM,70810,3768,191,257
cA3fSbbeLqI,69459,351,70,190
DWC2o_h5wP0,82449,1305,83,73
SF-ObMCb-Ac,58815,131,37,3
F9Fd3AUaOC4,68808,4664,99,760
s6pM3FlBcAw,103975,162,54,12
t-3rtU-91OU,64197,904,99,130
-7dTzc8kTOY,2820328,96617,6336,12063
g7SdBlW1Zj8,47328,1053,30,75
HroHi1lUg6M,40355,76,43,14
13zgNDLHfyk,85832,423,94,120
GuO4gJs9BFs,279282,2560,292,263
NDuOXWe4KW8,62151,843,67,48
kwGrQZUXBus,81117,1237,90,80
JtSoHMVvKG8,72644,44,44,0
Lww6RzTwTpE,81305,104,52,5
pBmmYgmN2IM,308383,20361,851,13553
Sdar8GHtD0k,1205088,65244,1435,2729
1r4NI9_rC8A,194888,4711,263,416
ntBIQF7TOW4,204389,2687,145,101
2nTvmoZNr9E,177563,292,40,20
7z90pkNWBlw,50914,868,32,42
7zCrBCsRcDc,141759,175,46,50
LwVz-MSPCcA,60541,249,65,10
pzRaJ63e-fg,68992,2769,209,585
9qMbaOzubCc,66231,203,42,23
LY-RHT8xF5I,206015,142,56,11
UZZJT2dN1QM,376679,1308,63,74
iTdm-HsOdNs,12408,113,22,36
rOR5PJgR0DQ,100662,2021,453,242
4TStX6b0uJ0,42923,908,126,92
QYNymjtl_QE,20086,1059,28,61
