id,views,likes,dislikes,comments
5ugKfHgsmYw,188085,591,189,0
ohObafdd34Y,90929,442,88,174
aBr2kKAHN6M,6408303,165892,2331,3006
5wNnwChvmsQ,96255,1165,277,545
B7J47qFvdsk,108408,1336,74,201
OIDfjdGERr8,193593,0,0,53
KqtWo-4A0LU,55465,189,339,800
MPQaySneSUc,66272,51,167,164
zIhc0rXajCk,57820,334,76,107
FVPmVIfl3-o,105112,1547,540,499
CcWHJuzPUKY,76621,545,16,0
nvSvrGUaRL0,245032,3020,222,0
GbHQfKUVEqk,37906,154,49,69
TC-ipmLi9PA,120824,5699,89,699
UQVs2qDBe10,1649451,23979,11290,4194
cXopRwPxg2M,23572,602,40,655
bFrhcY9exgo,34020,72,19,73
bvgF6esNfeQ,121271,330,168,25
ylojY8-BfWU,51006,1044,87,156
zr99xwEg6Pg,98294,80,39,35
u1LbK98Yphs,43853,0,0,13
29Gd024WhDA,28545,506,37,140
iP3symHIsUs,18025,56,7,46
0aH2JyPKkcQ,12637,288,3,21
B_v4nRnOs4A,91931,235,96,71
pVxOVlm_lE8,12908071,290084,5326,26863
_C1pZ0KL0MM,60140,185,36,89
6sexVZpv5RI,9854,227,22,94
vmd4px8348Y,23903,405,16,50
kKt7R582Umk,12463,0,0,0
9D2iNVZ9kJk,5815,48,19,17
pw4BYR6njRI,10352,51,12,22
wbSwFU6tY1c,14816949,300313,7802,30313
48bqj6TqVms,136365,390,64,415
k8Bt_phVS5Y,137962,4715,345,0
oXd60ArCFrE,1306752,28075,1214,8731
4WFStwCSdqM,444621,6736,293,1812
Iaafx-x9T6E,53781,161,124,79
H9KIeijkNTc,79505,0,0,0
h5isK6A2giQ,207610,2241,151,0
J156zfTzMTM,223565,1714,35,154
4lISApbG9Ek,34854,405,13,28
y4Id2KGDbb8,88496,5714,36,266
AlI4Q_Pe3BI,7113,195,10,16
palw25wDVnA,13608,544,29,39
_vXYt1zQLqA,21744,27,38,6
9vfxkTTSKJ4,10467,184,28,81
V1YAomM4_G4,10616,207,27,44
9H3LBeqxT8c,118337,906,65,76
dol3ryJcsio,127915,2793,7306,896
VAL1khzhGQw,2314506,14001,706,4183
D3UgKhoZbSI,61152,1378,36,191
8TGSLIjeKnw,14834,72,35,12
HaZzVUBlEGE,57668,2954,24,223
J_loNEewV8s,25669,122,9,4
QghTQMLZvTo,41437,104,20,0
RdveHyJ7kjk,63490,3417,21,260
LTDy5e1W_GU,14346,116,47,106
Wb2TT6X0CKc,344412,5750,535,1806
jfeKoBCmBRc,95266,1438,44,117
kpeCmYPB9e8,132727,195,47,153
j4Y_pS5ha3A,62836,40,85,18
MnQYdnYWCPQ,122972,3505,49,209
J5T6Y4YDkGg,7634,177,14,7
DHEgmES0HfU,72459,575,25,250
0ovTFlKXcy0,31013,1326,25,63
7UQSgAjKYdk,114223,332,128,0
3Xn7nGqiJCU,957641,14094,267,1036
U7pzUOdzYYk,223959,321,291,30
Fmx-IEa83JU,7757,123,26,24
U9Tkv9FjyNw,156835,2555,37,493
NwkoKEOUYaA,12442,570,6,103
T17xaPhX5dU,10068,121,13,44
2X6O10gGfzQ,7198,112,17,72
A04PARdtEss,33053,2789,16,53
S-xBo-o6Ky0,31920,102,226,244
ij13ux8rK9k,59100,724,117,159
6niuasak0AY,26050,1187,38,218
hNg2uOe28ak,112230,6109,50,536
VV7LMEbd1Es,343253,8871,105,1258
EBK5N6al6bo,230830,812,820,762
LTJKYH3OG70,293449,2105,122,571
sC32d0BmcJk,38067,2311,47,168
W9g0-vPBkXc,19255,2612,6,95
bAjxXtN81n8,16608,997,22,395
UaGK8MCVZyE,113779,10371,463,645
OaTGK4rZr1g,7857,35,5,2
ishsnPy0XOU,53963,1399,107,156
z0RPAaITyyg,37037,552,18,40
B80CK49etK0,135238,565,44,57
Hv18-l6kESg,452195,26514,1865,4030
YkGeOCP0JgU,108568,2454,216,275
D3xQ_NS0Hro,292922,764,134,230
XJFu0oJwdpw,191091,271,195,257
rskvlVMoYZE,6964,0,0,0
T6LPSNcsEw4,2476,15,2,1
oWxN_S8ANGY,18407,0,0,0
wIdrjXroKC0,155479,1773,128,258
gUukLb9ViRQ,35881,498,47,41
6qT5wAc3fEY,3136,385,7,41
_TM_GRv-0FY,7331,71,1,32
_tjVER3BDW8,11028,840,8,59
_j2MiTRDkuY,6998,144,30,13
3p7W5r4t3As,157029,6544,48,443
rmON2pSUdqM,88607,2590,39,512
_-gu6jeUTYk,14837,0,0,0
HHaPe2vOFpM,91475,1322,81,0
eMONEl5YQxQ,92767,1627,862,1548
V-Ocqn6itNQ,17161,244,6,289
RbXbsr256j0,25912,434,37,46
vUBq5g0wpss,21397,53,15,10
04YcnWKdOb0,112678,2901,30,216
x2Sp2ARYcSY,12122,780,14,128
pFQvMoJRo2U,54059,279,16,196
5Jkij23bedk,391633,949,75,289
YIjcz8xlYjg,101246,8247,62,396
dzxFdtWmjto,5599238,128725,15751,20888
0gIU760wZ7I,28507,226,49,48
LyhoUNm3xwo,120326,7626,53,1085
DL-KkzTShAc,12073,583,13,80
_MfVpGaUhYQ,2524,248,5,27
WRTJ-1CNrt4,140080,3827,100,400
TdWHNVpSTlI,9728,42,20,8
cnril81nZbQ,2066,0,0,64
91ZunNmQpAw,31035,944,73,165
UDv1NOiLacA,5867,43,7,0
9U-CRsPd4ME,18541,2168,16,51
bw-5XM5iOdY,26011,4857,5,260
Zcz-B4O1VRs,118121,5398,76,1015
2xBd8yabhIA,4130,41,9,4
4uTNVumfm84,2455067,197042,3139,11350
CK-3vr2KrYk,1715,29,1,2
xmupkoVfUnQ,3077741,25699,1375,2221
TlcWShTICF8,54903,1154,50,22
wQtcp2r8U9Q,17433,57,13,15
TwoaYQFdvWY,133724,2347,47,675
ky4OYOJVtAw,73757,0,0,0
aKloNmy1oNo,47210,500,155,142
2d0E2WcixgI,70091,4095,53,228
QcBcYdZ_RZM,12914,126,5,0
iORK8aJb058,120011,539,110,156
hyglh5FHuPg,16261,319,36,53
58YKbW8sYOQ,18297,0,0,0
l6wi_c5WOCc,65290,6166,43,252
2iOoovejpZ4,71599,1209,33,247
AiwztlqOJz0,9946,231,16,186
fjOwPHPJ76E,9103,175,10,19
b2U3DD0gjXA,81943,1438,110,679
eZhP62wZb08,870553,12266,160,536
bATd1FQBzD8,13886,114,9,10
OsrlAVbaVCk,34655,868,24,53
0kR7rIIHNNM,10296,123,4,7
Z6bc9_0AHQg,10519,73,28,19
x2huO11LEY4,7651,31,168,9
zhzpS04qzmU,3668,74,2,12
QnEU-U7D-4g,9105,69,5,4
sTbZaCiI-sE,14988,86,3,38
MKdC-U4ZkN0,85283,924,58,323
8BYG5ZvHjos,23317,671,12,117
_E4cdaRu5y4,1348724,25030,997,2948
#NAME?,45352,1953,10,191
H-jp87Y3ZSY,593812,10007,176,1747
2uQYJSGukls,206032,2597,99,539
P6g9k5gaxpM,8016,155,45,32
Tnkdf5gwM7k,75223,2718,1425,792
peM89TH3MWs,14379,167,6,8
bexivMvFVq8,29290,244,30,69
oKXWzoawdFE,19128,179,17,18
grexbDmBpro,28467,802,18,71
lTV1Y8Mfgwk,55953,160,51,40
tYbXvR8Qm28,6139,98,9,3
qAVeOtQx-4c,47622,633,63,196
ZfOjvOcVKhc,8287,245,8,40
BDUaO1QCMSg,46031,168,70,15
limXAUxMFPE,11112,66,8,35
jinurWYblbg,65430,0,0,0
7RDK8mShAkk,41086,725,10,153
390U2WHZR_Q,9316,539,8,51
7UrY5jKBwzc,5982,0,0,0
WvdeXCfNEag,12696,0,0,0
_HRhHxfQmyc,71431,99,42,33
WlDDih-9h44,109651,253,80,146
NqMZQEhkPn4,3772,59,5,0
6HVBbPJrs20,12718,47,4,24
0DRGuDnJTyo,21481,20,41,4
QJmV4BQs_yg,97847,4260,18,141
vGsQywoE1CA,148471,6770,39,889
SqCb6MdbMMQ,72596,1411,81,588
EYYvwMSWrGo,92261,853,37,207
KTLNqkwWK7Q,1797679,13072,478,3151
GmPC374gL1c,9114,36,4,13
bZ4bvrNE52M,3297,160,2,6
5ChFBgwXRBQ,5436,171,2,17
6fMq-4S2Bhc,160971,8733,65,481
HlxM9XNs4R4,70551,359,100,233
FobsaYaC73k,7998,229,9,55
3mn5eGng8uQ,9664,101,7,78
zdIOiV88lVs,147480,1285,27,163
y7119xDeVAM,12140,408,3,132
psu1430zRsA,163743,1885,179,357
lD3iSD9kg94,36586,805,18,69
OfbtARuVWew,50679,564,72,209
W8vgIXxJRtc,778712,31112,437,3919
G06gCDESJzk,658695,18110,598,3180
icL2CMKWRuA,148882,539,108,712
rEYbXVnAoIw,28672,1723,13,95
bmQj-ORcsUU,120032,194,60,54
GDmhf5xJ4Qs,123652,267,328,420
DXkHvEVCF14,7411,93,4,34
cvMURFcXFlE,131781,1167,286,269
pL2iEKcpkaE,171342,3691,102,936
F1dFrQZV47M,18581,964,8,129
TObTS2VF4x4,18533,109,16,31
ZTH24m5FGpA,1062516,29634,1124,7435
McXcnoOzQkY,79253,699,178,350
jPBiSdwn0WM,164588,3042,120,1148
ioGBaVRmBbY,192933,5154,561,635
vO1jrCodB7Y,15810,1809,8,299
K4nn6HcNmjw,3165,33,3,10
1zO5G5b7wY4,17489,23,14,0
VucNf2yaB3U,117660,1538,49,619
Dgw4I9xNWys,25497,784,8,91
0AZiilM9KAY,9629,346,99,66
kp7qer4jm40,7771,70,23,23
yQ8WUlG377g,463321,14074,260,2195
ThqM787fU2g,229903,7577,147,1559
vZ_TVJGwgKM,4360,34,1,8
IWhoDwKDzfc,64985,2758,60,201
COnDaq3fz-c,5789,336,2,0
V08ZJhPApb4,41878,497,541,214
DIG81rLWP-M,99677,2133,344,489
_LrlUzFFIrQ,25534,43,32,5
ZRHwCmz_aNE,163885,2032,143,262
DaAp7p3ZkIs,445775,4290,266,2420
LACtFriivb4,60185,1905,116,217
V0cZfoIiKaE,14159,0,0,27
XrkjkEsz77g,9960,95,6,29
ysZzMUvlyJw,5065,580,7,107
SG4pAQDt3qk,120191,802,19,162
ICaWQtg9i24,5700,376,1,31
ssagGh5AZ5M,12727,55,7,3
bRP-wmdG-fA,16573,797,11,0
J-aR8HdTpS4,12592,564,8,58
HzX5JEUlraI,129158,3304,328,296
J3GgqYKfs-c,17205,26,5,6
k1Ci-5lr-DA,124500,9103,27,591
sbBm5OXL-wU,239285,407,53,172
QsOjU85Xxig,2362,33,4,0
IIsAzdriw30,215986,26107,372,3795
_IIH0HjUCyY,95541,1089,82,110
axabjFfDIJI,66242,1221,50,128
gFxuiqQzj0A,698233,14945,326,1892
lohJWRrtmaY,22376,1061,4,134
An8PVbLdzdw,4421,25,7,0
YlijtiJhrAM,171595,2860,63,375
bAOdo98z-ho,39517,869,52,130
1idnH1Qw0yM,174274,3582,181,381
ANX98DKD5Ok,75953,307,60,64
xteL6fuFv70,32550,45,84,43
orTkp49yo94,32924,453,19,116
A6E_tXdnJ_Y,40088,162,17,0
P54g08mZsGk,6007,20,3,4
2ZFrPP2bRV0,30681,362,29,70
mNYkYuqXXpI,299130,1313,267,1046
Xo4cqiXxgtU,13999,932,5,227
83pCMDL6hUE,21750,111,5,46
f5I4zXy5BLg,12186,189,5,43
acx9kWFklds,37442,390,96,76
9Q9K2iC38jI,117056,1462,23,412
YjLlMZy2Ms4,46739,2799,13,256
AGXkystpisU,96082,1348,145,243
G-lbFCPqSQg,294388,1812,238,352
MY_QWpZM7fw,5442,112,0,2
bryFPAhUrrQ,23742,372,14,77
oYaT2Bh-OoU,23034,286,39,46
PyaMXCCoKlM,36622,841,85,183
ZNboStBis8M,77579,2551,48,261
D8Soa2sZOpg,56670,267,39,272
WE83yDlL4Oo,3368873,48003,1905,5671
UuS5RZBl6y0,102782,551,445,228
pJeJnHnVl20,15155,111,3,9
7kLO2AB5SPM,2768013,165865,9001,14577
UmSF7Vc-Cc0,109367,1528,138,208
Pnvs-bzsFoQ,15729,0,0,67
0aUANlarAng,28177,424,8,184
nqCWV0R5ysU,251220,3147,116,825
xfCs2AOWKno,48483,1500,5,172
kTCgEAmrmh4,41252,2235,11,356
o0NzQmmlONQ,87016,3717,19,562
we_Ejibowuw,28245,990,14,152
Vz1OUnzXiXo,14174,81,28,13
VXnrxY-l804,350732,4361,160,1414
