id,views,likes,dislikes,comments
RxGQe4EeEpA,156130,1422,40,272
hH7wVE8OlQ0,76533,211,28,113
9V8bnWUmE9U,421409,5112,166,459
0_8py-t5R80,222850,2093,173,1219
bk55RbxiQdI,84466,1094,109,450
AmP0ryzDmbY,188707,545,311,357
4Nxb_nQDYWo,114858,252,40,36
cplEUy1zk80,70166,301,37,352
iToRdbxuMtg,65547,91,207,154
poY-l_1poYA,17868,312,0,4
#NAME?,154614,504,134,244
9dQ02l7YlQI,1812042,5142,511,5296
3NgzuR6mCT0,260467,817,39,113
_GQ2ymrME2Y,85021,293,17,69
o4_tHTmniw4,2580925,237734,4183,29745
gmavEUSx1eA,83873,428,82,240
BOo4GnCfoEo,419815,348,223,1025
mrEqnxtq_Hk,299101,1163,116,376
zMHOvFaLaBs,75564,297,16,74
9r5ncSsv59I,290742,959,36,262
JN62XAh1jOA,104070,5564,22,1027
Ssx4JpUsW_U,88115,765,63,104
fiI4YwN3TNM,182505,6309,165,1737
WSasKXK0nhI,56248,0,0,526
AhcdSlUrAqk,204914,9568,55,2061
DKENZsdZ8Ho,18867,1334,2,223
DQJp8uoRSXk,96820,2997,278,811
K45GLGZXY4k,58676,2183,390,854
YQ2lbAaw8SI,370244,1644,65,332
d5bsz2nJvrM,8266,0,0,0
O5V8CUj-fmg,13662,610,3,55
g0SNaoqC7Cg,102348,998,106,115
IJtOFyXxRpU,18055,110,2,89
GiuQ33p-jEU,263044,3865,238,940
P9KQOvLRVNQ,59759,371,45,125
sZqZgEEB5SI,413871,408,243,424
uJTDJJ3BgMQ,338582,716,48,558
Shxu7Iyl9ds,42606,1999,47,293
jRItDl-NstA,44248,1889,30,298
FT0jBSkCqjQ,204935,197,87,243
txg6RnfzM38,149601,454,75,87
m3AxIeQ3StA,217077,2909,320,534
GcQ5HUKUaTA,28141,2006,107,179
6ZXFbgEVg1o,62856,402,57,95
YL211gvSyFM,260596,2871,171,693
fz7whSExAk4,30406,368,12,599
LIbLZ_ZUebs,280873,1319,54,936
_cYPL2kh81g,11452,21,7,28
T4AEfAT3I_A,121299,680,91,312
5fiGQcd0FGk,104885,384,163,671
pshpVtJJSqg,31298,390,9,101
fC7PIC9HskU,26676,383,3,118
JbIciJRSY10,13549,50,10,10
UWI3gbjL0k4,20051,1787,0,29
R5phEt-KJuE,215525,1698,79,535
WyvtwqaWCy8,44083,1527,9,54
vHdEl9deG4I,341243,1966,186,1091
cwcof34YxVQ,146317,472,204,259
zOOmEDwPJX0,2348107,32834,710,1743
_EdCoOqrj4s,28897,322,11,33
4S4I1cUK2xw,377469,892,423,136
m3NzK_u9FMI,205677,124,416,93
nFTEV-B2qmE,290960,1369,98,895
5aB0Ux6sucY,70801,3136,539,2049
7MxiQ4v0EnE,5718766,127478,7134,8063
QLOT92uIITo,753347,3718,141,294
gjUSs3Jd4hM,26785,946,19,195
JzYfGVwZ7dQ,73676,276,11,279
nUZZs9dOMJ0,144091,5287,107,534
kJmJ_qTgBb8,200053,791,133,177
dRMuDqHp9dI,30298,2216,24,318
Tjo4s7AMpfM,45357,955,36,891
swKs9PC5Krg,130842,3599,31,648
Rd9SLEKpiYk,16277,172,17,22
c64I9HNpiOY,10588371,132738,8812,10847
xPreuX7D4PA,104088,6835,17,295
QO7-sgyLsA0,14300,68,0,4
AGShaNYQA9Y,508384,7175,262,1767
mVPmIny-gZY,9485,76,7,9
hhzDPJdt42k,28569,0,0,732
pL0ryDuCH4k,289761,1449,508,1267
KcqZf5hb0sM,1135745,6910,1061,21857
MQWHxTHDfHM,29297,1897,23,179
kzwfHumJyYc,1096327,33966,798,882
oYlG0V4HNlI,39558,161,14,41
7zoZ14Z3Lnw,18040,1369,22,197
Pd46Er8RWo0,31433,175,27,93
so0ccfs-psI,836006,24460,180,594
vY9iQ61qwQc,118657,2117,49,1388
V61roUxihXU,231030,2597,30,584
fMisBfu4iSs,2789395,10510,2052,6298
go8Y1X0ECZY,32181,1218,19,75
TsxkhdDRsDI,15814,69,13,105
zHfdgW4hy8A,69885,731,15,185
JH9V6cVcN-4,8129,200,12,0
59VIEKvKJA8,49147,434,6,137
XdVhT60Loxg,162551,7356,4,217
cCOPLqDibfQ,464322,17205,306,2904
J90PtTxIpLA,117143,2915,68,916
ywmwUaPQ9xo,84987,458,14,147
VF2ADI5agOg,498073,7110,220,1866
RcIPRBz998g,185301,1341,156,525
Sx-gpxBft4M,12522,710,0,23
9cL5DZI-k0s,535876,2485,315,712
hljD0ExqCh0,108020,317,50,27
FQnL1HlPtMI,237673,1909,42,142
9XKpCpraezg,90386,411,11,104
enenslmbKJ4,64837,1118,28,185
GdZBsz301yk,15375,559,3,54
4CWYylzQh7g,9763,0,0,9
oGj5-or4DtA,41637,203,21,421
6GEawVjs1hs,13201,1055,2,130
OJ3we7LMggc,78450,1199,46,144
YSh7kp6umTc,27352,34,5,20
pkEs6sCA9nE,345008,786,90,445
m4Gypf62LBY,45444,916,83,441
ezfXyNqjljs,137147,1557,18,179
iDdElhzVx_c,467546,542,83,899
Svkg904ASjk,9628,123,11,8
F03qkeDeCOo,62823,261,50,80
xHkxALq6q7A,82438,409,72,98
HfHlzm1buvE,148370,1782,1788,1612
Y3xl9ihWc_U,542087,1793,293,309
vxfDYCYvdMw,30848,0,0,65
XUsv0zVWUiQ,632734,4439,342,3334
lXi8y3g4PP4,56037,854,11,482
BRGn0mLy-VM,622784,1934,400,872
498dj0zb1S0,21391,167,23,18
YJkknzyEerc,156292,685,38,110
XwV_WziEBRY,41997,1433,13,305
Gz5CLuByTQQ,71545,141,16,52
kymH-FhU1u4,190463,552,52,388
Vt3kUwhy1s4,150411,506,16,167
BNWFh7hcBMo,20731,286,31,52
Nay8oG9X2sA,25655,141,6,3
IihklvJYXoE,154115,1550,63,232
hA_YOlVZoxc,46765,143,35,24
ajpmlblM4KI,23537,122,17,47
Zgahznq7f4Q,17568,141,3,108
IhEqXSdRexM,34339,40,8,8
_5njFAnnFRE,28555,67,3,8
P8eX_Au3Zbw,494185,1128,72,54
rK8AJXgJFaE,78598,229,7,52
r_kggQY7cHw,3933794,19267,1752,6149
HaldKY9w9_Y,31265,119,15,30
tEGnXZePPJY,31576,40,12,39
sfZ5YaoJ1Eo,616608,11872,287,2264
1ZAPwfrtAFY,2418783,97198,6147,12703
QriN-YTcyo8,260076,142,12,71
kVb7A6J97v8,81104,290,16,269
hIgu7sUpdDU,106696,1830,12,68
qAcW06XhYDQ,16273,0,1,1
db33aDwoKY4,1216962,5464,339,494
7X-gYd1ox1M,2106034,8378,165,234
-I3IgxRI-7U,224127,2018,120,989
n1WpP7iowLc,17158579,787426,43420,125882
mKwqZIu-crw,159243,2375,144,519
6tGQtfHS8Go,353871,7594,88,1687
lOfIr4a5F44,17552,135,11,65
OsOJOrtW0G8,195281,657,22,423
mpSpcyH9hD8,397192,1523,83,201
ehfy36wqUTU,929219,10402,147,179
94kpv6F0MwE,1208399,5502,633,3121
p40SxAp8FRo,23506,0,0,0
mEfSuJEFLAA,103309,849,48,60
a3w2T5d7LN4,145736,262,39,338
eBBKwCAoShE,524465,62147,178,138193
98tQa2oR4Ps,389383,1385,34,109
BmttuN2Bmro,166100,1664,96,342
NhgDLHe69BA,188095,2945,37,744
DOIw62TXYkg,2457515,2707,200,209
ZcIWaCMJDKc,13763,265,2,64
XwjFwb9W2pk,83254,151,25,8
SOH10kDZtqU,105477,3150,26,309
gj_WrmyXH_c,282365,10244,288,1704
MbR2qevSXjQ,629696,3259,252,505
NKRC6kQV3gM,59314,1100,27,86
wwsrFvQ4_6U,1547860,5649,963,1308
zCc0MhQPB4w,348753,615,73,425
YNYjwzvwaU4,294940,115,26,92
JFLMIq_NSHA,160903,76,12,54
zyCMQmSVS4g,118842,249,54,195
_OmNKz6tJbc,18390,235,21,38
f7wCdRsKaqE,119391,3205,27,239
GU6TjZHqlJE,23923,24,2,8
vDxD4HwEFdY,280924,23660,496,3430
u-PeNDF7jCI,124697,906,49,286
ak3ja-tSKFQ,152824,975,27,111
MI0nxKUV8dQ,41169,48,8,42
kgaO45SyaO4,3701763,56563,2495,11608
XaUHP25sviY,483015,1159,120,1666
2guRr9fa0yM,170951,524,25,604
w6PqFyLtjuU,135033,12896,33,1286
4F8KrBnGhzE,79594,438,17,47
vODNr-hv7og,260714,3512,63,1284
i758WqxmPi8,69472,568,59,74
o7_xewHPhFc,105508,854,98,105
a-QCuwf1ACA,53553,1003,20,254
8G3qf3GcLCs,21395,5388,4,505
cMr-8UdrJEk,49804,2336,7,226
kNGhoqR0nFg,29213,241,28,0
Fe8hxYjVmho,59204,910,47,128
UsSXOQtQiUk,140662,169,23,37
MUBo-rLHE2Q,22764,1409,1,116
IZkgBIN_qJo,26047,0,0,51
u2cOmOk9jBE,1417556,4016,619,183
d-LSY0Wy1mM,374524,373,116,23
oLcuL6A-Yyo,287854,32959,31,961
l1Y0aNuOPt4,62810,2483,324,906
x1HZgkcX5OE,68049,365,137,164
ksk-KQ0mPDM,45295,1802,159,230
sM-cgpuY5VU,27114,39,20,98
_whKa4X0Mpk,18459,1280,6,163
nSHPYwLde00,35860,1103,39,92
G_op8NT8ZP8,31456,1767,58,94
Bq-vdDWecZQ,35567,837,10,96
gIdhFmtFCJs,15502,88,13,7
2-1nNAZLGuo,255058,1541,59,275
gdoRbcpGIgI,48179,3127,130,690
n5CuFtpt26U,23767,33,11,6
lQix_kSIkug,19304,1494,5,52
X56Jk3eV6wk,278228,4701,82,2368
lxlTvBFLpbg,81799,2145,55,177
ygniSAoGMgA,40825,1272,13,284
L6RgYEvnUBA,140194,504,110,351
Ic_nGV-cDrI,17380,84,5,32
fj8Ul67aLgc,257932,10112,81,1320
J7LZDFN7jLE,15897,447,0,31
ioC0-wmjbkI,99508,317,25,137
9kCzPCoPP2U,29330,276,9,27
HmCt4-HNRDY,39955,114,86,111
bee6yrxaF3M,156481,4929,32,767
OZ73fwBPzxU,14178,6,0,2
8heoVhxBB6o,24402,12,37,36
Rp3sh8tZisA,21563,440,10,163
cCegqohCFQs,141878,114,82,11
gK0h_7zAegA,26693,55,19,50
cRZP4QEgicU,57766,118,5,54
evGMWiEqTYM,317155,23144,145,3070
oX0l9OyhR-E,29106,1831,8,288
ZN5xYUaxT5E,163241,511,29,345
Ve0bcqPCu7M,15603,17,40,65
ywZW3TZb-Bw,45220,275,138,28
4Jo1y2sEcm4,16954,880,7,57
QfWGF0yLIPQ,25742,1000,7,152
OKn6Ngy6FHw,72863,158,10,61
MoKpleUs-_4,36691,8,0,1
y3UenGTOgkI,162013,655,25,130
bNKcQfFHAbc,10140,59,2,8
6PdFXBqB9Vc,11219,476,5,32
ZlBDDevj-_A,48538,0,0,82
2rQyHzWlYUg,75080,795,9,187
p6ENX9cN9-o,16748,190,25,22
C3ubhAKfejw,23113,4115,5,346
bn5TeQCMpJk,993742,2285,176,126
FuidwJdv81Y,17854,46,2,17
tranxI3uYT4,289855,1924,176,287
XXIM2VkxP34,13660,211,3,17
R91cz-HIOmY,4302,108,0,0
iBFUo2SD5xA,49304,1177,9,69
Ofvv6ygyT-U,140553,276,21,144
sVjINFwxxLc,15135,38,6,19
jH9fzbSOS0Q,32381,2608,16,210
S7Rx1B-54Nc,30819,48,4,39
2KGpxg5k89M,55930,648,20,63
pDC2buHM3HM,740890,1321,190,535
02bW7_ZfBpw,10144,191,2,8
Bk1pL6AfAN0,7357,138,2,8
JWvLeWL0ce0,11610,1383,34,258
DZjA7p2K7iE,85178,469,36,65
xjvPcOlvV3A,67446,401,32,35
5530I_pYjbo,977285,87621,391,5575
mVP8t4657as,21116,28,5,13
ACHmlijAqds,37486,325,6,53
cwznh1cuP4Q,14490,65,15,0
MspGNZ9Uhkw,324970,705,70,1068
9ICXTe48ScQ,343464,148,25,68
6HhGFKbHFbs,446706,846,62,915
c-UH1QiCEC4,655758,10357,275,1383
cMMpCbEEszE,126445,197,23,282
c4eespCkqBI,169834,279,42,403
Dqy3LU2g7T4,48146,94,8,40
dCdQZxAgiu0,91968,149,12,170
3IuDI5g27zc,165741,3781,79,521
DArGXWErP3A,338757,805,80,823
nWsQHn_sAP0,711986,1047,141,590
dFJpdVXZBEQ,112858,29,3,5
B1pDOYOeAYI,87006,147,157,138
f-vANlp3KnI,229972,402,124,675
iUu4pSqcVXc,293915,1242,80,245
ds5hmkdKPL0,192847,5475,106,255
1YEXXIWqkMM,1002924,237304,299,11933
26m7C0NoSdI,140471,2523,77,1352
V8Nz6xiBKHY,14683,218,2,5
