id,views,likes,dislikes,comments
SbOwzAl9ZfQ,310130,4182,361,1836
klOV6Xh-DnI,104972,271,174,369
6L2ZF7Qzsbk,136064,10105,266,607
hcY52MFWMDM,96153,378,171,208
_OXDcGPVAa4,499965,57781,681,7428
Q9kK6NWZR1U,129645,506,67,239
c9VTD3n_IDs,75197,2277,69,164
XzULSsZYMRc,142522,7745,659,0
uijjYNtl_UM,371110,20155,912,766
cOJ68MQm2ac,1111314,83582,2194,9106
rZZEeeAVgog,471516,23279,270,494
kTT472QeJGg,220315,17070,7718,1895
yhdI98_O-Xc,127796,13293,216,2318
7jmJtdqI6YE,53265,194,41,90
Dhhp8M5K3UI,53265,194,41,90
M16Usa8oqDg,66073,399,39,109
OFXU_vrye9w,30274,705,199,125
238T-LaO_IM,47789,776,143,308
KO-QO5QQAyM,39857,233,45,324
7D-swI6qNLM,217025,26934,201,1277
WflHonz04Uc,29667,20,53,10
d1oYTRYmNHs,667216,28782,1770,3892
GR1Af3ZG-lE,194758,4085,182,531
y_6rR8yKONo,227651,5532,213,662
Wi3nAYFigpQ,28186,15,9,5
nEAMm3nGxpM,7127,37,3,13
3RITF3vm-KE,17316,246,21,8
1i71glG1P5s,504940,1001,290,232
6YHkNTRMUL8,58827,486,35,78
1ZAPwfrtAFY,2418783,97202,6148,12711
VVHWFZqV_mU,18980,42,86,14
O1v0F5-Xv68,16066,78,20,56
RkTi5_hu-kY,28098,0,0,22
AvIh646qPg8,100349,10699,156,996
b_U9i0vSZnQ,43151,2438,58,193
GZGdFRttWDI,142325,12027,165,362
lHJLYWwzphw,29887,106,10,18
0zYvsH3IzTw,28342,1132,63,113
cgYhR-3QfhM,195613,929,238,92
N5Ss8TbYnec,166050,6820,188,157
RQMvpa4V2hM,251933,19078,751,799
cU2FFwy0eKI,14723,2059,24,208
cTRJYA6dibU,2529472,56054,1547,3584
O_jDNNEvvJo,8088,118,34,99
sBmvgi-gd2M,53340,5266,68,178
eyskwaltDLs,18206,227,2,38
p-EupRWaX9E,23635,329,164,343
vawBoPTwFeY,44056,5489,52,244
Mr2G7PcfXis,36157,1237,49,52
9w6dJzxsDD8,16437,105,19,5
FhuxIRzs8LE,1085608,95120,2263,20788
S9qll04y4iw,1047926,53154,871,2803
zexzfD25jWU,582042,1953,214,287
kzwfHumJyYc,1096327,33966,798,882
so0ccfs-psI,836006,24460,180,594
tU3b7GVb65E,22085,594,28,70
mevdRfjbwH4,15814,91,5,14
#NAME?,32145,2982,54,791
zR-9Pf-BBrM,31145,283,20,29
J5sgeaTui0w,32201,1634,91,469
XDqZ57zAsGY,167066,9809,138,702
M4W-nrYGRYc,75173,290,34,55
ag3qaxX6lW0,231503,35077,638,10188
ZIf-yocPdKM,124070,13008,268,2249
8_MFaKfSZUI,46645,5500,104,855
0k6gGxwNFSI,5895,67,1,6
qlHi7uhZdvU,149776,42,28,46
mXmLxLCs9HA,13816,831,9,21
YxJB396gmWQ,37601,679,30,71
3VDJQMaSWF0,316360,16820,266,735
5Dimg9RM4Lo,87525,171,37,11
5E4ZBSInqUU,687582,114221,1333,8371
OIBG99riACs,8090,262,3,4
s-VstUmpPzM,34707,97,28,24
URnaV-AK4og,31974,2663,50,500
IZRJsmfscIg,14409,2419,17,441
y5wvD7QH1x4,299832,44011,1213,14355
IBd5v-MPEH4,16963,777,14,41
bbFsQ3QuJAc,149799,816,167,95
3JMZx99Yb_0,62550,6078,71,631
XcjFWrzjLPE,89669,189,71,65
DHt9_TXbKbI,8661,28,41,36
8DLQNl20YE8,11042,70,10,1
LT4qAHRqrjU,26416,167,21,26
Dt3i0xvLW_Q,63858,3065,102,136
OlKxqYmZNrc,10875,2570,15,424
qxyJYWGf57k,8010,0,0,0
P3q93hzUGEA,21323,0,0,15
QzlD0W4J8mk,5421,21,7,8
uUUd_8Gl6Bk,8695,496,59,71
qh3Vr7x_5bQ,6665,223,2,3
nOVd0sNNjc8,18932,49,35,40
