id,views,likes,dislikes,comments
gDuslQ9avLc,62408,334,190,50
AOCJIFEA_jE,330043,43841,2244,2977
VAWNQDgwwOM,424596,49854,714,2944
gknkFwKQfHg,112851,3566,122,80
3sYvZcwzZr8,243469,36216,631,1692
SLF34Gt_UxQ,733936,47964,2545,3901
YVcroDDi24s,1131851,78692,2427,4114
TZdNwUSgRHc,97006,2259,330,887
YxEJVGfP74Y,105116,9780,93,1184
oZYT_vC4-pc,442228,3194,5985,3218
3KdggIRWiR0,419835,27738,656,4681
6X4YapxVq0A,64303,1864,1856,263
Omdo0bhd4Q8,163041,25462,420,3210
CMRuwAxwFzk,23405,32,186,39
t9NxCOsmzcY,113371,218,62,95
sI2Mpp9AWRg,210181,34370,26569,5828
ZYNJKWCFrH8,191348,10679,762,790
ss0q7YJ8weU,148974,5434,5247,1612
6846jSXLg9o,362255,13776,874,1331
3U3FcX9NYXg,46143,45,566,73
Va4KRV9c95o,101081,4937,453,1140
bpYfzrFJMNU,297604,16641,537,1353
DS7OiDdSkR0,317094,6433,158,532
Gmq88u0W81Y,285049,25939,446,987
jqFN6Wc877I,332741,8358,2228,966
kK-9T4kcZOY,23316,699,160,217
JCBl3_780Cc,345569,16751,769,2630
d9ndEyk2lBw,151624,106,35,53
L_OP79MnELA,79197,225,343,119
qHL7mEzDxhI,738654,38917,1724,2339
XuIXhyCkacQ,77786,1769,290,1689
79VAuXokTfc,66883,4731,497,942
YCGNdWqFlBM,101402,6304,249,863
jielZn5fzWo,157093,778,469,577
mLFHz-aej9U,95171,1047,135,67
UXkcv-b1EqQ,539625,24904,3205,3803
c_saLG14vdQ,132772,12053,262,873
QV92uIjiRF4,159579,1352,403,661
slTrGn2h90Y,55554,52,7,69
JlJ9lgfaWrc,293205,6707,195,652
UYhP4UHEBhI,540442,31477,1668,3522
bmXIYa36Des,3459,2,19,2
ki4HipRPxWw,67840,19,638,99
G_GpbL9Y7fM,44339,3038,499,361
5kVDklB0xXg,132061,4934,335,714
OocAUKOV11o,229809,8606,545,1164
2LnGpx3sdow,85162,5746,606,2234
45Twdyv2CJo,32014,2806,115,189
ZEk1GefMvwM,237457,2957,353,195
wIReYFIqFIc,76854,57,1139,274
3YQVjNUsNjc,116081,8739,235,327
r-uWNiiqF3U,19372,1093,51,146
kzAprgsUcbM,4636,0,0,0
Mep50x4zzXY,34858,934,52,133
3Ndea07TC6s,100674,8969,134,565
nWcKZtppdbg,306619,39229,2207,4049
Hrt9GWYyyrY,39637,3613,24,132
DNzSAY6IuFY,747459,94626,1737,1777
ulcBhCJotPU,493894,39688,1358,69331
Wn4519r1eJ4,21130,40,34,12
